"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Gupta+Clinic/data=!4m7!3m6!1s0x396c4d8d06793f6d:0xddc63c5419c710dc!8m2!3d26.942437!4d75.6992962!16s%2Fg%2F11kqn80ssz!19sChIJbT95Bo1NbDkR3BDHGVQ8xt0?authuser=0&hl=en&rclk=1","Gupta Clinic","","","Medical clinic","·","","Plot no.191, green City 16, Govindpura - Sirsi Link Rd","","","","","","","","Directions","","","","","",""
"https://www.google.com/maps/place/DR.+PRAGYA+TIWARI+%7C+Gynaecologist+in+Jhotwara+%7C+Pregnancy+Care+%26+PCOS+Treatment+Specialist+in+Niwaru+Road+Jaipur/data=!4m7!3m6!1s0x396db30f9d6b5f5f:0xac3b4b8068e0c03a!8m2!3d26.9588155!4d75.7244562!16s%2Fg%2F11mt0vsdrd!19sChIJX19rnQ-zbTkROsDgaIBLO6w?authuser=0&hl=en&rclk=1","DR. PRAGYA TIWARI | Gynaecologist in Jhotwara | Pregnancy Care & PCOS Treatment Specialist in Niwaru Road Jaipur","5.0","(10)","Gynecologist","·","","Sr. Sec. Public School, Shop No.21,22, Ganesh Nagar, Niwaru Rd, opp. Shree Krishna, jewellers","Closed","·","","· Opens 8 am","088104 02060","","","Directions","","","","On-site services","",""
"https://www.google.com/maps/place/Shri+Krishna+Hospital/data=!4m7!3m6!1s0x396db3fa6a12e073:0xdcacb25a362caf87!8m2!3d26.9488583!4d75.7211351!16s%2Fg%2F11k2gxg0w_!19sChIJc-ASavqzbTkRh68sNlqyrNw?authuser=0&hl=en&rclk=1","Shri Krishna Hospital","3.7","(30)","Hospital","·","","·","Open 24 hours","Ravan Gate Kalwar, Road","·","","097834 44468","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very good","doctor","and staff"
"https://www.google.com/maps/place/Dr.+Shiv%27s+Child+Clinic/data=!4m7!3m6!1s0x396db3372cfd0c57:0x8742a8b37d100dbc!8m2!3d26.940577!4d75.7467624!16s%2Fg%2F11mxvqdg2h!19sChIJVwz9LDezbTkRvA0QfbOoQoc?authuser=0&hl=en&rclk=1","Dr. Shiv's Child Clinic","4.9","(218)","Pediatrician","·","","106, 80 Feet Main Rd","Closed","·","","· Opens 7:30 am","079766 42336","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best Pediatrician in Jaipur perfect Diagnosis & Right Treatment on time.""","",""
"https://www.google.com/maps/place/Dr.+Subhash+Yadav+Diabetes+Doctor+%7C+General+Physician+Jhotwara/data=!4m7!3m6!1s0x396db351c92bdfa3:0x102b6df9909c3b24!8m2!3d26.9645761!4d75.7269635!16s%2Fg%2F11xlkv8bwr!19sChIJo98ryVGzbTkRJDuckPltKxA?authuser=0&hl=en&rclk=1","Dr. Subhash Yadav Diabetes Doctor | General Physician Jhotwara","5.0","(182)","Diabetologist","·","","vaid g ka chauraha, G1, Niwaru Rd, near Jindal traders","Open 24 hours","·","","","076073 54454","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The doctors take time to listen and explain everything clearly.""","",""
"https://www.google.com/maps/place/Dr.+DEVENDRA+GUPTA+-+BEST+PHYSICIAN+IN+JAIPUR/data=!4m7!3m6!1s0x396db3e8f892b7cd:0x18658793d8dd8e61!8m2!3d26.9579245!4d75.7417579!16s%2Fg%2F11s4g12m60!19sChIJzbeS-OizbTkRYY7d2JOHZRg?authuser=0&hl=en&rclk=1","Dr. DEVENDRA GUPTA - BEST PHYSICIAN IN JAIPUR","4.5","(2)","Doctor","·","","AARVI HOSPITAL, Niwaru Rd","·","Open 24 hours","","","094604 63463","https://www.eka.care/doctor/devendra-gupta?utm_source=gmb&utm_medium=website&utm_campaign=032023","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr Devendra gupta team is very helpfull and professional.""","",""
"https://www.google.com/maps/place/Sahara+Child+Hospital-Best+Child+Hospital%2FI.C.U.%2FAllergy%2FVaccination+Center+in+Jhotwara+Jaipur/data=!4m7!3m6!1s0x396db30c01c58129:0xb606246b2966fb85!8m2!3d26.9432171!4d75.7548186!16s%2Fg%2F124ynm4kj!19sChIJKYHFAQyzbTkRhftmKWskBrY?authuser=0&hl=en&rclk=1","Sahara Child Hospital-Best Child Hospital/I.C.U./Allergy/Vaccination Center in Jhotwara Jaipur","4.5","(149)","Children's hospital","·","","·","Open 24 hours","9A, Kalwar Rd, Near medical center","·","","098282 27407","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Doctor 💊 is excellent and staff is very good""","",""
"https://www.google.com/maps/place/Maheshwari+Skin+%26+Hair+Care+Clinic+Dr.+Anshul+Maheshwari+MBBS,+MD+%28+Skin+%26+VD+%29/data=!4m7!3m6!1s0x396db3b4d2c22add:0xc90419d9a99767a2!8m2!3d26.9430938!4d75.7468991!16s%2Fg%2F11hbhk0dz2!19sChIJ3SrC0rSzbTkRomeXqdkZBMk?authuser=0&hl=en&rclk=1","Maheshwari Skin & Hair Care Clinic Dr. Anshul Maheshwari MBBS, MD ( Skin & VD )","4.7","(50)","Skin care clinic","·","","B-32 agarsen nagar boring CHAURAHA near 9 to 9 bazaar KALWAR road jaipur","·","Closed","· Opens 5 pm","","070737 85894","https://www.maheshwariskinclinic.com/","","Website","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr anshul suggested me very good treatment.""","",""
"https://www.google.com/maps/place/Jai+Shri+Ram+Clinic/data=!4m7!3m6!1s0x396db3283c534021:0xf169eeaabbec5446!8m2!3d26.9565962!4d75.7238475!16s%2Fg%2F11byttnmpx!19sChIJIUBTPCizbTkRRlTsu6ruafE?authuser=0&hl=en&rclk=1","Jai Shri Ram Clinic","3.0","(2)","Medical clinic","·","","Shop No 1 Plot No, 5, Niwaru Rd, opposite Balaji Ka Mandir","","","","","096102 06734","","","Directions","","","","","",""
"https://www.google.com/maps/place/Shekhawati+Clinic/data=!4m7!3m6!1s0x396db300736679a1:0x1c80891eeed3775c!8m2!3d26.9546131!4d75.7451676!16s%2Fg%2F11yqfrt_3h!19sChIJoXlmcwCzbTkRXHfT7h6JgBw?authuser=0&hl=en&rclk=1","Shekhawati Clinic","5.0","(4)","Medical clinic","·","","Ground Floor, Ramneshpuri A26, Niwaru Rd","Closed","","","· Opens 9 am","","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good service""","",""
"https://www.google.com/maps/place/Bagree+Hospital/data=!4m7!3m6!1s0x396db317c1eb50ff:0xa2e774b4c256c26a!8m2!3d26.9459674!4d75.7384607!16s%2Fg%2F11bzt73hc7!19sChIJ_1DrwRezbTkRasJWwrR056I?authuser=0&hl=en&rclk=1","Bagree Hospital","4.5","(368)","Hospital","·","","·","Open 24 hours","53, 54-B, Kalwar Rd","·","","0141 234 0677","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Had a great experience with experienced","doctor","and staff."""
"https://www.google.com/maps/place/Madhav+Gastro+and+Eye+Clinic-+Piles+Doctor,+Fissure,+Fatty+liver,+Jaundice,+%E0%A4%AE%E0%A5%8B%E0%A4%A4%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%AC%E0%A4%BF%E0%A4%82%E0%A4%A6+operation,+opticals,+refraction/data=!4m7!3m6!1s0x396db34e91701983:0x7857b1ddbfc068da!8m2!3d26.9451456!4d75.7352739!16s%2Fg%2F11srh_358l!19sChIJgxlwkU6zbTkR2mjAv92xV3g?authuser=0&hl=en&rclk=1","Madhav Gastro and Eye Clinic- Piles Doctor, Fissure, Fatty liver, Jaundice, मोतियाबिंद operation, opticals, refraction","4.9","(72)","Medical clinic","·","","·","Closed","Opposite Joshi Marg, Kalwar Rd","·","· Opens 8 am","086192 27342","","","Directions","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Great experience meeting highly capable doctor with empathy.""","",""
